hr, targetSPN(difficulty), avgDelta (real difficulty), hrthres
129,0.9204999,1.804395,107.6
129,0.9206188,1.804395,107.6
129,0.9207377,1.804395,107.6
129,0.9208566,1.804395,107.6
129,0.9209755,1.804395,107.6
129,0.9210944,1.804395,107.6
129,0.9212133,1.804395,107.6
129,0.9213322,1.804395,107.6
129,0.9214512,1.804395,107.6
129,0.9215701,1.804395,107.6
129,0.921689,1.804395,107.6
129,0.9218079,1.804395,107.6
129,0.9219268,1.804395,107.6
129,0.9220457,1.804395,107.6
129,0.9221646,1.804395,107.6
129,0.9222835,1.804395,107.6
129,0.9224024,1.804395,107.6
129,0.9225214,1.804395,107.6
129,0.9226403,1.804395,107.6
129,0.9227592,1.804395,107.6
129,0.9228781,1.804395,107.6
129,0.922997,1.804395,107.6
129,0.9231159,1.804395,107.6
129,0.9232348,1.804395,107.6
129,0.9233537,1.804395,107.6
130,0.9234782,1.804395,107.6
130,0.9236026,1.804395,107.6
130,0.9237271,1.804395,107.6
130,0.9238515,1.804395,107.6
130,0.923976,1.804395,107.6
130,0.9241005,1.804395,107.6
130,0.9242249,1.804395,107.6
130,0.9243494,1.804395,107.6
130,0.9244738,1.804395,107.6
130,0.9245983,1.804395,107.6
130,0.9247227,1.804395,107.6
130,0.9248472,1.804395,107.6
130,0.9249716,1.804395,107.6
130,0.9250961,1.804395,107.6
130,0.9252205,1.804395,107.6
130,0.925345,1.804395,107.6
130,0.9254695,1.804395,107.6
130,0.9255939,1.804395,107.6
130,0.9257184,1.804395,107.6
130,0.9258428,1.804395,107.6
130,0.9259673,1.804395,107.6
130,0.9260917,1.804395,107.6
130,0.9262162,1.804395,107.6
130,0.9263406,1.804395,107.6
130,0.9264651,1.804395,107.6
130,0.9265895,1.804395,107.6
130,0.926714,1.804395,107.6
130,0.9268385,1.804395,107.6
130,0.9269629,1.804395,107.6
130,0.9270874,1.804395,107.6
130,0.9272118,1.804395,107.6
130,0.9273363,1.804395,107.6
130,0.9274607,1.804395,107.6
130,0.9275852,1.804395,107.6
130,0.9277096,1.804395,107.6
130,0.9278341,1.804395,107.6
130,0.9279585,1.804395,107.6
130,0.928083,1.804395,107.6
130,0.9282075,1.804395,107.6
130,0.9283319,1.804395,107.6
130,0.9284564,1.804395,107.6
130,0.9285808,1.804395,107.6
130,0.9287053,1.804395,107.6
130,0.9288297,1.804395,107.6
130,0.9289542,1.804395,107.6
130,0.9290786,1.804395,107.6
130,0.9292031,1.804395,107.6
130,0.9293275,1.804395,107.6
130,0.929452,1.804395,107.6
130,0.9295765,1.804395,107.6
130,0.9297009,1.804395,107.6
130,0.9298254,1.804395,107.6
130,0.9299498,1.804395,107.6
130,0.9300743,1.804395,107.6
130,0.9301987,1.804395,107.6
130,0.9303232,1.804395,107.6
130,0.9304476,1.804395,107.6
130,0.9305721,1.804395,107.6
130,0.9306965,1.804395,107.6
130,0.930821,1.804395,107.6
130,0.9309455,1.804395,107.6
130,0.9310699,1.804395,107.6
130,0.9311944,1.804395,107.6
130,0.9313188,1.804395,107.6
130,0.9314433,1.804395,107.6
130,0.9315677,1.804395,107.6
130,0.9316922,1.804395,107.6
130,0.9318166,1.804395,107.6
130,0.9319411,1.804395,107.6
130,0.9320655,1.804395,107.6
130,0.93219,1.804395,107.6
130,0.9323145,1.804395,107.6
130,0.9324389,1.804395,107.6
130,0.9325634,1.804395,107.6
130,0.9326878,1.804395,107.6
130,0.9328123,1.804395,107.6
130,0.9329367,1.804395,107.6
130,0.9330612,1.804395,107.6
130,0.9331856,1.804395,107.6
130,0.9333101,1.804395,107.6
130,0.9334345,1.804395,107.6
130,0.933559,1.804395,107.6
130,0.9336835,1.804395,107.6
130,0.9338079,1.804395,107.6
130,0.9339324,1.804395,107.6
130,0.9340568,1.804395,107.6
130,0.9341813,1.804395,107.6
130,0.9343057,1.804395,107.6
130,0.9344302,1.804395,107.6
130,0.9345546,1.804395,107.6
130,0.9346791,1.804395,107.6
130,0.9348035,1.804395,107.6
130,0.934928,1.804395,107.6
130,0.9350525,1.804395,107.6
131,0.9350538,1.804395,107.6
131,0.9351838,1.804395,107.6
131,0.9353138,1.804395,107.6
131,0.9354438,1.804395,107.6
131,0.9355738,1.804395,107.6
131,0.9357038,1.804395,107.6
131,0.9358338,1.804395,107.6
131,0.9359637,1.804395,107.6
131,0.9360937,1.804395,107.6
131,0.9362237,1.804395,107.6
131,0.9363537,1.804395,107.6
131,0.9364837,1.804395,107.6
131,0.9366137,1.804395,107.6
131,0.9367437,1.804395,107.6
131,0.9368737,1.804395,107.6
131,0.9370037,1.804395,107.6
131,0.9371337,1.804395,107.6
131,0.9372637,1.804395,107.6
131,0.9373937,1.804395,107.6
131,0.9375237,1.804395,107.6
131,0.9376537,1.804395,107.6
131,0.9377837,1.804395,107.6
131,0.9379137,1.804395,107.6
131,0.9380437,1.804395,107.6
131,0.9381737,1.804395,107.6
131,0.9383037,1.804395,107.6
131,0.9384337,1.804395,107.6
131,0.9385637,1.804395,107.6
131,0.9386937,1.804395,107.6
131,0.9388237,1.804395,107.6
131,0.9389537,1.804395,107.6
131,0.9390837,1.804395,107.6
131,0.9392137,1.804395,107.6
131,0.9393437,1.804395,107.6
131,0.9394737,1.804395,107.6
131,0.9396037,1.804395,107.6
131,0.9397337,1.804395,107.6
131,0.9398637,1.804395,107.6
131,0.9399937,1.804395,107.6
131,0.9401237,1.804395,107.6
131,0.9402537,1.804395,107.6
131,0.9403837,1.804395,107.6
131,0.9405137,1.804395,107.6
131,0.9406437,1.804395,107.6
131,0.9407737,1.804395,107.6
131,0.9409037,1.804395,107.6
131,0.9410337,1.804395,107.6
131,0.9411637,1.804395,107.6
131,0.9412937,1.804395,107.6
131,0.9414237,1.804395,107.6
131,0.9415537,1.804395,107.6
131,0.9416837,1.804395,107.6
131,0.9418136,1.804395,107.6
131,0.9419436,1.804395,107.6
131,0.9420736,1.804395,107.6
131,0.9422036,1.804395,107.6
131,0.9423336,1.804395,107.6
131,0.9424636,1.804395,107.6
131,0.9425936,1.804395,107.6
131,0.9427236,1.804395,107.6
131,0.9428536,1.804395,107.6
131,0.9429836,1.804395,107.6
131,0.9431136,1.804395,107.6
131,0.9432436,1.804395,107.6
131,0.9433736,1.804395,107.6
131,0.9435036,1.804395,107.6
131,0.9436336,1.804395,107.6
131,0.9437636,1.804395,107.6
131,0.9438936,1.804395,107.6
131,0.9440236,1.804395,107.6
131,0.9441536,1.804395,107.6
131,0.9442836,1.804395,107.6
131,0.9444136,1.804395,107.6
131,0.9445436,1.804395,107.6
131,0.9446736,1.804395,107.6
131,0.9448036,1.804395,107.6
131,0.9449336,1.804395,107.6
131,0.9450636,1.804395,107.6
131,0.9451936,1.804395,107.6
131,0.9453236,1.804395,107.6
131,0.9454536,1.804395,107.6
131,0.9455836,1.804395,107.6
131,0.9457136,1.804395,107.6
131,0.9458436,1.804395,107.6
131,0.9459736,1.804395,107.6
131,0.9461036,1.804395,107.6
131,0.9462336,1.804395,107.6
131,0.9463636,1.804395,107.6
131,0.9464936,1.804395,107.6
131,0.9466236,1.804395,107.6
131,0.9467536,1.804395,107.6
131,0.9468836,1.804395,107.6
131,0.9470136,1.804395,107.6
131,0.9471436,1.804395,107.6
131,0.9472736,1.804395,107.6
131,0.9474036,1.804395,107.6
131,0.9475335,1.804395,107.6
131,0.9476635,1.804395,107.6
131,0.9477935,1.804395,107.6
131,0.9479235,1.804395,107.6
131,0.9480535,1.804395,107.6
131,0.9481835,1.804395,107.6
131,0.9483135,1.804395,107.6
127,0.9484213,1.804395,107.6
127,0.9485291,1.804395,107.6
127,0.9486368,1.804395,107.6
127,0.9487446,1.804395,107.6
127,0.9488524,1.804395,107.6
127,0.9489601,1.804395,107.6
